Name,Team,Ret TD,Rec 40 yd TD,Fumbles Lost,Rush TD,Pass Int,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Leonard Hankerson,WAS,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0,0,0,2.99136,399.36,0.0,0.1
Kenny Stills,NO,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0,0,0,3.872,591.36,0.0,0
Eddie Royal,SD,0.28,0.3,0.3,0.0,0.0,0.0,0.0,0,0,0,2.2344,384.72,0.0,0.1
Jon Baldwin,SF,0,0.7,0.2,0.2,0,26.1,0,0,0,0,2.3,370,0,0.1
Jason Avant,PHI,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0,0,0,3.36,691.2,0.0,0
Marvin Jones,CIN,0.0,0.5,0.2,0.0486,0.0,13.68,0.0,0,0,0,1.1616,165.0,0.0,0.1
Harry Douglas,ATL,0.48,0.3,0.2,0.0,0.0,0.0,0.0,0,0,0,2.736,417.6,0.0,0
Brice Butler,OAK,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0,0,0,2.5344,439.2,0.0,0.1
Kevin Ogletree,TB,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0,0,0,2.6112,453.12,0.0,0.1
Travis Benjamin,CLE,0.0,0.4,0.2,0.1184,0.0,34.56,0.0,0,0,0,0.86592,190.944,0.0,0
Riley Cooper,PHI,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0,0,0,3.6736,576.0,0.0,0.1
Brandon Stokley,BAL,0.0,0.4,0,0.0,0.0,0.0,0.0,0,0,0,2.9835,442.8,0.0,0.1
Percy Harvin,SEA,0.12,0.1,0.3,0.1356,0.0,17.4,0.0,0,0,0,2.3232,317.4,0.0,0.1
Brandon Gibson,MIA,0.0,0.9,0.4,0.0,0.0,0.0,0.0,0,0,0,3.8,528.0,0.0,0.1
Jerome Simpson,MIN,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,0.81,171.0,0.0,0
Davone Bess,CLE,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0,0,0,1.5744,318.24,0.0,0
Earl Bennett,CHI,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0,0,0,1.0224,162.0,0.0,0
Santana Moss,WAS,0.0,0.3,0.6,0.0,0.0,8.4,0.0,0,0,0,4.1724,482.4,0.0,0.1
Ted Ginn Jr.,CAR,1,0.3,0.2,0,0,0,0,0,0,0,1.6,273,0,0
Braylon Edwards,NYJ,0,0.4,0.2,0,0,0,0,0,0,0,1.8,311,0,0
Jarius Wright,MIN,0,0.2,0.3,0.2,0,47.3,0,0,0,0,1.1,280,0,0
Kyle Williams,SF,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0,0,0,1.12,180.0,0.0,0.1
Ace Sanders,JAC,0.48,0.1,0.3,0.0,0.0,17.6,0.0,0,0,0,0.912,183.168,0.0,0
