Name,Team,Ret TD,Rec 40 yd TD,Fumbles Lost,Rush TD,Pass Int,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Bilal Powell,NYJ,0.0,0.1,0.5,2.964,0.0,548.72,0.0,0,0,0,0.7448,218.88,0.0,0.1
Fred Jackson,BUF,0.0,0.1,1.9,2.6973,0.0,417.6,0.0,0,0,0.1,0.5166,155.52,0.0,0.1
Toby Gerhart,MIN,0.0,0.1,1,3.5139,0.0,437.598,0.0,0,0,0,0.3402,116.85,0.0,0
Le'Veon Bell,PIT,0,0.1,1.1,3.2,0,497,0,0,0,0.4,0.5,115,0,0.1
Mike Tolbert,CAR,0.0,0.1,0.5,5.5407,0.0,183.96,0.0,0,0,0,0.74168,226.1248,0.0,0.1
Roy Helu,WAS,0.0,0.1,0.6,2.88912,0.0,414.12,0.0,0,0,0,0.75696,167.04,0.0,0.1
Isaiah Pead,STL,0.0,0.1,0.8,1.7228,0.0,300.76,0.0,0,0,0,0.3278,96.0,0.0,0
DuJuan Harris,GB,0.0,0,0.8,2.856,0.0,423.2,0.0,0,0,0,0.344,43.68,0.0,0
Rashad Jennings,OAK,0.0,0,0.7,2.0928,0.0,378.4,0.0,0,0,0,0.2772,87.84,0.0,0
Bryce Brown,PHI,0.0,0,1.3,1.886,0.0,252.688,0.0,0,0,0,0.2884,56.16,0.0,0
LeGarrette Blount,NE,0.0,0,0.9,1.4097,0.0,182.09,0.0,0,0,0,0.03392,4.576,0.0,0.1
Marcel Reece,OAK,0.0,0.1,0.6,0.432,0.0,82.5,0.0,0,0,0,1.0395,247.05,0.0,0
Robert Turbin,SEA,0.0,0,0.2,2.1696,0.0,330.6,0.0,0,0,0,0.4752,131.1,0.0,0.1
Knowshon Moreno,DEN,0.0,0.1,0.7,3.5424,0.0,511.664,0.0,0,0,0,1.21312,213.312,0.0,0.1
Kendall Hunter,SF,0.0,0,0.2,3.19072,0.0,470.744,0.0,0,0,0,0.34506,95.4,0.0,0.1
Ryan Williams,ARI,0,0,0.7,1.8,0,289,0,0,0,0,0.3,106,0,0
